,Game,Year,Genre,Publisher,NorthAmerica,Europe,Japan,RestofWorld,Global
81,Dragon Quest XI,2017,Role-Playing,Square Enix,0.29,0.22,1.43,0.1,2.04
82,Rocket League,2016,Sports,505 Games,0.37,1.34,0.0,0.31,2.02
83,Just Cause 3,2015,Action-Adventure,Square Enix,0.53,1.07,0.09,0.3,1.98
84,Dishonored 2,2016,Action,Bethesda Softworks,0.62,1.02,0.01,0.31,1.97
85,Lego Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,0.59,1.0,0.01,0.3,1.91
86,Until Dawn,2015,Adventure,Sony Computer Entertainment,0.62,0.92,0.06,0.3,1.9
87,Knack,2013,Platform,Sony Computer Entertainment,0.45,0.77,0.42,0.23,1.88
88,The Evil Within,2014,Action,Bethesda Softworks,0.56,0.9,0.11,0.28,1.86
89,The Crew,2014,Racing,Ubisoft,0.44,1.04,0.03,0.27,1.79
90,Kingdom Hearts 1.5 + 2.5 Remix,2017,Role-Playing,Square Enix,0.75,0.51,0.23,0.26,1.75
91,For Honor,2017,Action,Ubisoft,0.73,0.66,0.07,0.28,1.75
92,Titanfall 2,2016,Shooter,Electronic Arts,0.75,0.62,0.06,0.28,1.72
93,Injustice 2,2017,Fighting,Warner Bros. Interactive Entertainment,0.88,0.54,0.0,0.29,1.72
94,NieR Automata,2017,Role-Playing,Square Enix,0.56,0.51,0.42,0.22,1.71
95,Tekken 7,2017,Fighting,Namco Bandai Games,0.6,0.72,0.12,0.26,1.7
96,Persona 5,2016,Role-Playing,Deep Silver,0.62,0.34,0.48,0.2,1.64
97,The Order: 1886,2015,Shooter,Sony Computer Entertainment,0.44,0.86,0.07,0.25,1.62
98,Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,0.48,0.84,0.03,0.25,1.61
99,Detroit: Become Human,2018,Adventure,Sony Interactive Entertainment,0.55,0.67,0.12,0.24,1.57
100,Naruto Shippuden: Ultimate Ninja Storm 4,2016,Fighting,Namco Bandai Games,0.71,0.47,0.12,0.24,1.54
101,NBA 2K14,2013,Sports,2K Sports,0.91,0.35,0.01,0.27,1.54
102,Tomb Raider (2013),2014,Action-Adventure,Square Enix,0.47,0.74,0.06,0.23,1.51
103,Dragon Ball: Xenoverse 2,2016,Action,Namco Bandai Games,0.54,0.59,0.14,0.23,1.5
104,Rayman Legends,2014,Platform,Ubisoft,0.22,1.05,0.0,0.23,1.5
105,Mass Effect: Andromeda,2017,Role-Playing,Electronic Arts,0.58,0.67,0.0,0.25,1.49
106,Dragon Ball Fighter Z,2018,Fighting,Namco Bandai Games,0.61,0.51,0.12,0.23,1.46
107,South Park: The Fractured But Whole,2017,Role-Playing,Ubisoft,0.62,0.57,0.0,0.24,1.43
108,The Sims 4,2017,Simulation,Electronic Arts,0.44,0.72,0.01,0.22,1.39
109,Street Fighter V,2016,Fighting,Capcom,0.64,0.42,0.12,0.22,1.39
110,Wolfenstein II: The New Colossus,2017,Shooter,Bethesda Softworks,0.55,0.58,0.01,0.22,1.36
111,WWE 2K18,2017,Sports,2K Sports,0.45,0.67,0.0,0.22,1.33
112,Lego Star Wars: The Force Awakens,2016,Action-Adventure,Warner Bros. Interactive Entertainment,0.3,0.78,0.02,0.2,1.31
113,EA Sports UFC 2,2016,Sports,EA Sports,0.44,0.65,0.0,0.21,1.31
114,The Last Guardian,2016,Action-Adventure,Sony Interactive Entertainment,0.4,0.58,0.13,0.19,1.29
115,WWE 2K16,2015,Sports,Take-Two Interactive,0.43,0.65,0.0,0.21,1.29
116,Borderlands: The Handsome Collection,2015,Shooter,2K Games,0.69,0.34,0.03,0.22,1.28
117,Project CARS,2015,Racing,Bandai Namco Games,0.29,0.76,0.04,0.19,1.28
118,WWE 2K17,2016,Sports,2K Games,0.32,0.7,0.0,0.19,1.22
119,Guitar Hero Live,2015,Music,Activision,0.52,0.49,0.0,0.2,1.21
120,Metal Gear Solid: Ground Zeroes,2014,Action-Adventure,Konami Digital Entertainment,0.36,0.5,0.17,0.17,1.2
121,Mad Max (2013),2015,Action,Warner Bros. Interactive Entertainment,0.38,0.59,0.05,0.19,1.2
122,Shadow of the Colossus,2018,Action-Adventure,Sony Interactive Entertainment,0.44,0.52,0.05,0.19,1.2
123,Kingdom Hearts HD 2.8 Final Chapter Prologue,2017,Role-Playing,Square Enix,0.57,0.25,0.2,0.17,1.2
124,Dragon Ball: XenoVerse,2015,Fighting,Namco Bandai Games,0.33,0.55,0.14,0.17,1.19
125,LEGO Dimensions,2015,Action,Warner Bros. Interactive Entertainment,0.48,0.5,0.0,0.2,1.18
126,LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,0.41,0.56,0.02,0.19,1.18
127,WWE 2K15,2014,Sports,2K Sports,0.4,0.57,0.0,0.19,1.16
