,Game,Year,Genre,Publisher,NorthAmerica,Europe,Japan,RestofWorld,Global
277,Just Dance 2018,2017,Music,Ubisoft,0.1,0.15,0.0,0.05,0.3
278,The Walking Dead: Season Two,2014,Misc,Square Enix,0.13,0.09,0.03,0.05,0.3
279,Sword Art Online: Fatal Bullet,2018,Role-Playing,Namco Bandai Games,0.11,0.03,0.13,0.03,0.29
280,Naruto to Boruto: Shinobi Striker,2018,Action,Bandai Namco Games,0.19,0.03,0.02,0.05,0.29
281,Yooka-Laylee,2017,Platform,Sold Out,0.09,0.16,0.0,0.05,0.29
282,Cars 3: Driven to Win,2017,Racing,Warner Bros. Interactive Entertainment,0.06,0.18,0.01,0.04,0.29
283,Metal Gear Solid V: The Definitive Experience,2016,Action,Konami Digital Entertainment,0.13,0.08,0.03,0.04,0.29
284,Sherlock Holmes: Crimes & Punishments,2014,Adventure,Focus Home Interactive,0.1,0.14,0.0,0.05,0.29
285,Star Trek Bridge Crew VR,2017,Action,Ubisoft,0.11,0.12,0.0,0.05,0.28
287,Spintires: MudRunner,2017,Simulation,Focus Home Interactive,0.11,0.12,0.0,0.05,0.28
288,Onechanbara Z2: Chaos,2014,Action,NIS America,0.16,0.03,0.05,0.04,0.28
289,Secret of Mana,2018,Role-Playing,Square Enix,0.06,0.12,0.05,0.04,0.28
290,Gundam Versus,2017,Action,Namco Bandai Games,0.08,0.0,0.18,0.02,0.28
291,NBA Live 14,2013,Sports,EA Sports,0.17,0.05,0.0,0.05,0.27
292,Bravo Team VR,2018,Shooter,Sony Interactive Entertainment,0.12,0.09,0.02,0.04,0.27
293,Killing Floor 2�,2016,Shooter,Tripwire Interactive,0.19,0.03,0.0,0.05,0.27
294,Robinson: The Journey,2016,Action-Adventure,Sony Interactive Entertainment,0.14,0.09,0.0,0.05,0.27
295,DriveClub VR,2016,Racing,Sony Interactive Entertainment,0.12,0.09,0.01,0.04,0.27
296,Fate/Extella: The Umbral Star,2016,Action,PQube,0.12,0.0,0.12,0.03,0.27
297,Ultimate Marvel vs. Capcom 3,2017,Fighting,Capcom,0.19,0.0,0.02,0.04,0.26
298,New Danganronpa V3: Minna no Koroshiai Shin Gakki,2017,Adventure,NIS America,0.09,0.05,0.07,0.03,0.25
299,Samurai Warriors 4,2014,Fighting,Tecmo Koei,0.08,0.07,0.06,0.03,0.25
300,Darksiders III,2018,Action,THQ Nordic,0.13,0.07,0.0,0.04,0.25
301,NBA Live 15,2014,Sports,Electronic Arts,0.16,0.04,0.0,0.04,0.25
302,NBA Live 18,2017,Sports,EA Sports,0.2,0.0,0.0,0.05,0.24
303,Tearaway Unfolded,2015,Platform,Sony Computer Entertainment,0.07,0.13,0.0,0.04,0.24
304,.hack//G.U. Last Recode,2017,Role-Playing,Namco Bandai Games,0.1,0.04,0.08,0.03,0.24
305,Ride,2015,Racing,Milestone S.r.l.,0.04,0.13,0.03,0.03,0.24
306,Just Dance 2017,2016,Misc,Ubisoft,0.08,0.12,0.0,0.04,0.24
